title,link
Quality Analyst,https://infopark.in/company-jobs/details/18980/148
Machine Learning Developer,https://infopark.in/company-jobs/details/21381/368
Angular Developer,https://infopark.in/company-jobs/details/21397/329
Intern - React Frontend (With UI/UX basics),https://infopark.in/company-jobs/details/21448/296
Data Science Intern,https://infopark.in/company-jobs/details/20957/157
Junior Geophysicist- Fiber-optic Sensing & AI (Fresher),https://infopark.in/company-jobs/details/20959/157
Jr. Python developer,https://infopark.in/company-jobs/details/19950/368
Quality Analyst Intern,https://infopark.in/company-jobs/details/14332/148
Data Science Trainer,https://infopark.in/company-jobs/details/16415/189
FrontEnd Developer-2 Years,https://infopark.in/company-jobs/details/20803/189
AI -DataScience Mentor ( 1to2 years),https://infopark.in/company-jobs/details/17749/189
Python Full Stack Trainer(1 to 2 yrs),https://infopark.in/company-jobs/details/21351/189
Jr. Software Engineer (React & Python),https://infopark.in/company-jobs/details/21359/387
Power BI Developer,https://infopark.in/company-jobs/details/21382/495
Data science Trainer cum Developer ( 1 - 2 YEARS),https://infopark.in/company-jobs/details/18848/189
Full Stack Developer (Next.js & Node.js),https://infopark.in/company-jobs/details/21440/399
AI Engineer,https://infopark.in/company-jobs/details/21456/312
Implementation & Technical Support Engineer (Trainee),https://infopark.in/company-jobs/details/20210/70
SEO Analyst,https://infopark.in/company-jobs/details/18578/399
Freelance (HTML 5) Frontend Developer Female Only,https://infopark.in/company-jobs/details/21447/409
Pre-Sales Analyst,https://infopark.in/company-jobs/details/21275/83
GRC ANALYST-CYBERSECURITY,https://infopark.in/company-jobs/details/21073/4
React Js Developer,https://infopark.in/company-jobs/details/21395/329
Supply Chain Intern,https://infopark.in/company-jobs/details/21441/132
Business Development Associate - Trainee,https://infopark.in/company-jobs/details/20907/85
MERN Full Stack Trainer,https://technopark.in/job-details/26426?job=MERN Full Stack Trainer
Python Full stack developer (with Training Experience only),https://technopark.in/job-details/26425?job=Python Full stack developer (with Training Experience only)
Gym Trainer (on daily wages) (Job Code GYMT/122025/518),https://technopark.in/job-details/26423?job=Gym Trainer (on daily wages) (Job Code GYMT/122025/518)
Business Analyst,https://technopark.in/job-details/26418?job=Business Analyst
SAP Consultant – Finance / MM / Supply Chain,https://technopark.in/job-details/26414?job=SAP Consultant – Finance / MM / Supply Chain
Dot Net Developer Trainee,https://technopark.in/job-details/26409?job=Dot Net Developer Trainee
Business Analyst,https://technopark.in/job-details/26406?job=Business Analyst
Odoo Developers Trainee,https://technopark.in/job-details/26402?job=Odoo Developers Trainee
Data Engineer (PySpark),https://technopark.in/job-details/26398?job=Data Engineer (PySpark)
Junior AI Engineer,https://technopark.in/job-details/26395?job=Junior AI Engineer
Software Engineer-React.js,https://technopark.in/job-details/26389?job=Software Engineer-React.js
Data Engineer,https://technopark.in/job-details/26386?job=Data Engineer
Junior Data Entry Operator,https://technopark.in/job-details/26369?job=Junior Data Entry Operator
AI/ML Engineer,https://technopark.in/job-details/26359?job=AI/ML Engineer
Business Development Associate - Trainee,https://technopark.in/job-details/26357?job=Business Development Associate - Trainee
QC & Compliance Analyst – Loan Operations,https://technopark.in/job-details/26347?job=QC & Compliance Analyst – Loan Operations
Business Analyst,https://technopark.in/job-details/26340?job=Business Analyst
Data Analyst,https://technopark.in/job-details/26331?job=Data Analyst
AI Developer - Python (Remote),https://technopark.in/job-details/26330?job=AI Developer - Python (Remote)
Junior Python Developer (Gen AI Experience),https://technopark.in/job-details/26311?job=Junior Python Developer (Gen AI Experience)
Technical Analyst,https://technopark.in/job-details/26308?job=Technical Analyst
Data Analyst,https://technopark.in/job-details/26296?job=Data Analyst
Scrum Master / Technical Analyst,https://technopark.in/job-details/26274?job=Scrum Master / Technical Analyst
Microsoft Fabric Data Engineer,https://technopark.in/job-details/26273?job=Microsoft Fabric Data Engineer
Mid Python Developer (Malaysia),https://technopark.in/job-details/26271?job=Mid Python Developer (Malaysia)
Full Stack Developer (Angular+Nodejs),https://technopark.in/job-details/26252?job=Full Stack Developer (Angular+Nodejs)
AI Developer (Job code AI/122025/749),https://technopark.in/job-details/26227?job=AI Developer (Job code AI/122025/749)
ML Engineer – Identity Risk & Knowledge Graph,https://technopark.in/job-details/26224?job=ML Engineer – Identity Risk & Knowledge Graph
Data Analyst,https://technopark.in/job-details/26222?job=Data Analyst
Business Analyst,https://technopark.in/job-details/26220?job=Business Analyst
Junior Business Analyst,https://technopark.in/job-details/26198?job=Junior Business Analyst
Computer Vision/ML Engineer (Computer Vision),https://technopark.in/job-details/26180?job=Computer Vision/ML Engineer (Computer Vision)
Backend Developer – Node.js (Expert),https://technopark.in/job-details/26178?job=Backend Developer – Node.js (Expert)
Internship Opportunity (Unpaid – 6 to 12 Months),https://technopark.in/job-details/26148?job=Internship Opportunity (Unpaid – 6 to 12 Months)
Psychology Research Trainee,https://technopark.in/job-details/26117?job=Psychology Research Trainee
Business Development Trainee,https://technopark.in/job-details/26116?job=Business Development Trainee
Video Editing Trainee,https://technopark.in/job-details/26104?job=Video Editing Trainee
Digital Marketing Trainee,https://technopark.in/job-details/26099?job=Digital Marketing Trainee
"Fullstack Developer( React , Nodejs , Python)","https://technopark.in/job-details/26062?job=Fullstack Developer( React , Nodejs , Python)"
PLSQL Developer | Practicesuite | Smartcity Kochi,https://smartcity-kochi.in/2024/11/plsql-developer-practicesuite-smartcity-kochi/
Angular Developer – Mid Level | Expeed Software| Smartcity Kochi,https://smartcity-kochi.in/2023/12/angular-developer-mid-level-expeed-software-smartcity-kochi/
Full Stack Developer | Expeed Software Pvt Ltd | Smartcity Kochi,https://smartcity-kochi.in/2022/08/full-stack-developer-expeed-software-pvt-ltd-smartcity-kochi/
Walkin for freshers | Metadata Technologies | Smartcity Kochi,https://smartcity-kochi.in/2020/01/walkin-for-freshers-metadata-technologies-smartcity-kochi/
